,Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
0,455," Jolliffe, J Cadima",Principal component analysis: a review and recent developments,4255,2016, royalsocietypublishing.org, … Transactions of the Royal Society A …,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2015.0202,608
1,221,"Rolnick, PL Donti, LH Kaack, K Kochanski…",Tackling climate change with machine learning,417,2022, dl.acm.org, ACM Computing …,https://dl.acm.org/doi/abs/10.1145/3485128,417
2,122," Brunton, BR Noack…",Machine learning for fluid mechanics,1151,2020, annualreviews.org, Annual review of fluid …,https://www.annualreviews.org/doi/abs/10.1146/annurev-fluid-010719-060214,384
6,98,Camporeale,The challenge of machine learning in space weather: Nowcasting and forecasting,160,2019, Wiley Online Library, Space Weather,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018SW002061,40
7,64,Villaescus,The CAMELS Project: Cosmology and Astrophysics with Machine-learning Simulations,75,2021, iopscience.iop.org, The Astrophysical …,https://iopscience.iop.org/article/10.3847/1538-4357/abf7ba/meta,38
8,44,"Hazarika, R Zimmermann, S Poria",Misa: Modality-invariant and-specific representations for multimodal sentiment analysis,112,2020, dl.acm.org, Proceedings of the 28th ACM …,https://dl.acm.org/doi/abs/10.1145/3394171.3413678,37
9,14,"Sixt, B Wild, T Landgraf",Rendergan: Generating realistic labeled data,166,2018, frontiersin.org, Frontiers in Robotics and AI,https://www.frontiersin.org/articles/10.3389/frobt.2018.00066/full,33
10,295,"Zyner, S Worrall, E Nebot",Naturalistic driver intention and path prediction using recurrent neural networks,131,2019, ieeexplore.ieee.org, IEEE transactions on intelligent …,https://ieeexplore.ieee.org/abstract/document/8713418/,33
11,108,"Abuhamad, A Abusnaina, DH Nyang…",Sensor-based continuous authentication of smartphones' users using behavioral biometrics: A contemporary survey,81,2020, ieeexplore.ieee.org, IEEE Internet of …,https://ieeexplore.ieee.org/abstract/document/9179700/,27
12,213,Hepple,Labour laws and global trade,491,2005, books.google.com,,https://books.google.com/books?hl=en&lr=&id=TcrbBAAAQBAJ&oi=fnd&pg=PR1&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=4F_qBAYrhY&sig=L5T4uz3_kSgmak2hXGx1VntfRwg,27
13,328,"Zhao, XY Li, H Ma",Budget-feasible online incentive mechanisms for crowdsourcing tasks truthfully,188,2014, ieeexplore.ieee.org, IEEE/ACM Transactions on Networking,https://ieeexplore.ieee.org/abstract/document/6999984/,21
14,170,"Mathuriya, D Bard, P Mendygral…",CosmoFlow: Using deep learning to learn the universe at scale,100,2018, ieeexplore.ieee.org, … Conference for High …,https://ieeexplore.ieee.org/abstract/document/8665771/,20
15,119," Ebenuwa, MS Sharif, M Alazab, A A",Variance ranking attributes selection techniques for binary classification problem in imbalance data,81,2019, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8651567/,20
16,117,"Xing, C Lv, D Cao",Personalized vehicle trajectory prediction based on joint time-series modeling for connected vehicles,81,2019, ieeexplore.ieee.org, IEEE Transactions on Vehicular …,https://ieeexplore.ieee.org/abstract/document/8933492/,20
17,212," Singh, V Chandrasekar…","Emerging application of nanorobotics and artificial intelligence to cross the BBB: advances in design, controlled maneuvering, and targeting of the barriers",39,2021, ACS Publications, ACS Chemical …,https://pubs.acs.org/doi/abs/10.1021/acschemneuro.1c00087,20
18,201,"Camara, N Bellotto, S Cosar, F Weber…",Pedestrian models for autonomous driving part ii: high-level models of human behavior,53,2020, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9151337/,18
19,284, A,Torank: Identifying the most influential suspicious domains in the tor network,73,2019, Elsevier, Expert Systems with …,https://www.sciencedirect.com/science/article/pii/S0957417419300296,18
20,430," Paul, M Dredze",Social monitoring for public health,106,2017, morganclaypool.com, Synthesis Lectures on Information …,https://www.morganclaypool.com/doi/abs/10.2200/S00791ED1V01Y201707ICR060,18
21,226,"Maulik, O San, JD Jacob, C Crick",Sub-grid scale model classification and blending through deep learning,69,2019, cambridge.org, Journal of Fluid Mechanics,https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/subgrid-scale-model-classification-and-blending-through-deep-learning/AA126B4BFC4FB14915672B5EA4BA1EF1,17
22,223,"Allys, T Marchand, JF Cardoso…",New interpretable statistics for large-scale structure analysis and generation,48,2020, APS, Physical Review D,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.102.103506,16
23,289,"Fischetti, I Ljubić, M Monaci…","Interdiction games and monotonicity, with application to knapsack problems",62,2019, pubsonline.informs.org, INFORMS Journal on …,https://pubsonline.informs.org/doi/abs/10.1287/ijoc.2018.0831,16
24,389,"Kaufman, SR Kaufman",Invasive plants: guide to identification and the impacts and control of common North American species,156,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=6N63DAAAQBAJ&oi=fnd&pg=PP1&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=R8e8EF82kx&sig=UXYqVLmGUi6m5EBs42MiiwCbPSI,16
25,97,"Edalatifar, MB Tavakoli, M Ghalambaz…",Using deep learning to learn physics of conduction heat transfer,33,2021, Springer, Journal of Thermal …,https://link.springer.com/article/10.1007/s10973-020-09875-6,16
26,202,"Bennett, S Jayes",Trusting the team: the best practice guide to partnering in construction,410,1995, books.google.com,,https://books.google.com/books?hl=en&lr=&id=2j4xT9jDNdgC&oi=fnd&pg=PA1&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=Acd9fBvE2k&sig=w-SFsR-RossDifCtWzpvVO419wY,15
27,6,"Eiffert, K Li, M Shan, S Worrall…",Probabilistic crowd GAN: Multimodal pedestrian trajectory prediction using a graph vehicle-pedestrian attention network,41,2020, ieeexplore.ieee.org, IEEE Robotics and …,https://ieeexplore.ieee.org/abstract/document/9123560/,14
29,192,"Maulik, O San, A Rasheed, P Vedula",Data-driven deconvolution for large eddy simulations of Kraichnan turbulence,72,2018, aip.scitation.org, Physics of Fluids,https://aip.scitation.org/doi/abs/10.1063/1.5079582,14
31,273,"Sabir, T Botmart, MAZ Raja, R Sadat, MR Ali…",Artificial neural network scheme to solve the nonlinear influenza disease model,13,2022, Elsevier, … Signal Processing and …,https://www.sciencedirect.com/science/article/pii/S1746809422001161,13
32,164,"Piccione, JW Berkery, SA Sabbagh…",Physics-guided machine learning approaches to predict the ideal stability properties of fusion plasmas,39,2020, iopscience.iop.org, Nuclear …,https://iopscience.iop.org/article/10.1088/1741-4326/ab7597/meta,13
33,1,"Shaul, I David, O Shitrit, TR Raviv",Subsampled brain MRI reconstruction by generative adversarial neural networks,39,2020, Elsevier, Medical Image Analysis,https://www.sciencedirect.com/science/article/pii/S1361841520301110,13
