Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,,,,
400,Géron,"Hands-on machine learning with Scikit-Learn, Keras, and TensorFlow",5416,2022, books.google.com,,https://books.google.com/books?hl=en&lr=&id=X5ySEAAAQBAJ&oi=fnd&pg=PT10&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+(%27tabular+data%27+OR+%27table+data%27)&ots=yB3yog37AO&sig=Cee_EXyrhiXlkp429YpzUqIQ0Qk,5416,,,,
247,"Karras, S Laine, T Aila",A style-based generator architecture for generative adversarial networks,5423,2019, openaccess.thecvf.com, … of the IEEE/CVF conference on …,http://openaccess.thecvf.com/content_CVPR_2019/html/Karras_A_Style-Based_Generator_Architecture_for_Generative_Adversarial_Networks_CVPR_2019_paper.html,1356,,,,
49,"Shorten, TM Khoshgoftaar",A survey on image data augmentation for deep learning,4734,2019, journalofbigdata.springeropen.com, … of big data,https://journalofbigdata.springeropen.com/articles/10.1186/s40537-019-0197-0/,1184,,,,
76,"Zhang, M Cisse, YN Dauphin…",mixup: Beyond empirical risk minimization,4960,2017, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1710.09412,827,,,,
611,"Minaee, YY Boykov, F Porikli, AJ Plaza…",Image segmentation using deep learning: A survey,1164,2021, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/9356353/,582,,,,
59,"Perez, J Wang",The effectiveness of data augmentation in image classification using deep learning,2043,2017, arxiv.org, arXiv preprint arXiv:1712.04621,https://arxiv.org/abs/1712.04621,340,,,,
953,"Jing, Y Tian",Self-supervised visual feature learning with deep neural networks: A survey,993,2020, ieeexplore.ieee.org, IEEE transactions on pattern analysis and …,https://ieeexplore.ieee.org/abstract/document/9086055/,331,,,,
850," Lundervold, A Lundervold",An overview of deep learning in medical imaging focusing on MRI,1284,2019, Elsevier, Zeitschrift für Medizinische Physik,https://www.sciencedirect.com/science/article/pii/S0939388918301181,321,,,,
791,"Raschka, V Mirjalili","Python machine learning: Machine learning and deep learning with Python, scikit-learn, and TensorFlow 2",977,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=sKXIDwAAQBAJ&oi=fnd&pg=PP1&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+(%27tabular+data%27+OR+%27table+data%27)&ots=V9IplRUKEo&sig=HLs4Op09pSowU9M0Z1OMvuRKj2E,244,,,,
370,"Melis, C Song, E De Cristofaro…",Exploiting unintended feature leakage in collaborative learning,861,2019, ieeexplore.ieee.org, 2019 IEEE symposium …,https://ieeexplore.ieee.org/abstract/document/8835269/,215,,,,
556,"Howard, S Gugger",Fastai: a layered API for deep learning,525,2020, mdpi.com, Information,https://www.mdpi.com/2078-2489/11/2/108,175,,,,
851," Arik, T Pfister",Tabnet: Attentive interpretable tabular learning,325,2021, ojs.aaai.org, Proceedings of the AAAI Conference on Artificial …,https://ojs.aaai.org/index.php/AAAI/article/view/16826,162,,,,
977,"Kobyzev, SJD Prince…",Normalizing flows: An introduction and review of current methods,487,2020, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/9089305/,162,,,,
423,"Zhang, VM Patel",Densely connected pyramid dehazing network,732,2018, openaccess.thecvf.com, … of the IEEE conference on computer …,http://openaccess.thecvf.com/content_cvpr_2018/html/Zhang_Densely_Connected_Pyramid_CVPR_2018_paper.html,146,,,,
265,"Sinha, H Namkoong, R Volpi, J Duchi",Certifying some distributional robustness with principled adversarial training,780,2017, arxiv.org, arXiv preprint arXiv:1710.10571,https://arxiv.org/abs/1710.10571,130,,,,
884,"Roh, G Heo, SE Whang",A survey on data collection for machine learning: a big data-ai integration perspective,502,2019, ieeexplore.ieee.org, … on Knowledge and Data …,https://ieeexplore.ieee.org/abstract/document/8862913/,126,,,,
830,"Wang, Z Lei, X Zhang, B Zhou, J Peng",A review of deep learning for renewable energy forecasting,468,2019, Elsevier, Energy Conversion and …,https://www.sciencedirect.com/science/article/pii/S0196890419307812,117,,,,
889,"Bhatt, A Xiang, S Sharma, A Weller, A Taly…",Explainable machine learning in deployment,336,2020, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3351095.3375624,112,,,,
645,"Gibson, W Li, C Sudre, L Fidon, DI Shakir…",NiftyNet: a deep-learning platform for medical imaging,540,2018, Elsevier, Computer methods and …,https://www.sciencedirect.com/science/article/pii/S0169260717311823,108,,,,
446,"Pinto, J Davidson, R Sukthankar…",Robust adversarial reinforcement learning,608,2017, proceedings.mlr.press, … on Machine Learning,http://proceedings.mlr.press/v70/pinto17a.html,101,,,,
99,"Grathwohl, RTQ Chen, J Bettencourt…",Ffjord: Free-form continuous dynamics for scalable reversible generative models,501,2018, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1810.01367,100,,,,
741," Sindagi, VM Patel",Generating high-quality crowd density maps using contextual pyramid cnns,592,2017, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_iccv_2017/html/Sindagi_Generating_High-Quality_Crowd_ICCV_2017_paper.html,99,,,,
694,"Fu, K Luo, S Levine",Learning robust rewards with adversarial inverse reinforcement learning,586,2017, arxiv.org, arXiv preprint arXiv:1710.11248,https://arxiv.org/abs/1710.11248,98,,,,
78,"Wang, L Perez",The effectiveness of data augmentation in image classification using deep learning,588,2017, vision.stanford.edu, Convolutional Neural Networks Vis …,http://vision.stanford.edu/teaching/cs231n/reports/2017/pdfs/300.pdf,98,,,,
2,"Xu, M Skoularidou, A Cuest",Modeling tabular data using conditional gan,374,2019, proceedings.neurips.cc, Advances in …,https://proceedings.neurips.cc/paper/2019/hash/254ed7d2de3b23ab10936522dd547b78-Abstract.html,94,,,,
196,"Perera, R Nallapati, B Xiang",Ocgan: One-class novelty detection using gans with constrained latent representations,339,2019, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_CVPR_2019/html/Perera_OCGAN_One-Class_Novelty_Detection_Using_GANs_With_Constrained_Latent_Representations_CVPR_2019_paper.html,85,,,,
111,"Kazeminia, C Baur, A Kuijper, B van Ginneken…",GANs for medical image analysis,255,2020, Elsevier, Artificial Intelligence in …,https://www.sciencedirect.com/science/article/pii/S0933365719311510,85,,,,
450,"H Dar, M Yurt, L Karacan, A Erdem…",Image synthesis in multi-contrast MRI with conditional generative adversarial networks,312,2019, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/8653423/,78,,,,
101,"Sinha, S Ebrahimi, T Darrell",Variational adversarial active learning,301,2019, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_ICCV_2019/html/Sinha_Variational_Adversarial_Active_Learning_ICCV_2019_paper.html,75,,,,
642, Sarker,"Deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",149,2021, Springer, SN Computer Science,https://link.springer.com/article/10.1007/s42979-021-00815-1,74,,,,
831,"Zhang, H Li, Y Li, H Liu, Y Chen, X Ding",Application of deep learning algorithms in geotechnical engineering: a short critical review,138,2021, Springer, Artificial Intelligence Review,https://link.springer.com/article/10.1007/s10462-021-09967-1,69,,,,
618,"Raschka, J Patterson, C Nolet","Machine learning in python: Main developments and technology trends in data science, machine learning, and artificial intelligence",199,2020, mdpi.com, Information,https://www.mdpi.com/2078-2489/11/4/193?utm_source=rss&utm_medium=rss,66,,,,
885,"Liu, M Ding, S Shaham, W Rahayu…",When machine learning meets privacy: A survey and outlook,129,2021, dl.acm.org, ACM Computing …,https://dl.acm.org/doi/abs/10.1145/3436755,64,,,,
925,"Qi, G Chen, Y Li, X Cheng, C Li","Applying neural-network-based machine learning to additive manufacturing: current applications, challenges, and future perspectives",239,2019, Elsevier, Engineering,https://www.sciencedirect.com/science/article/pii/S2095809918307732,60,,,,
8," Nicolae, M Sinn, MN Tran, B Buesser…",Adversarial Robustness Toolbox v1. 0.0,269,2018, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1807.01069,54,,,,
844,"Ghosh, N Das, I Das, U Maulik",Understanding deep learning techniques for image segmentation,218,2019, dl.acm.org, ACM Computing Surveys (CSUR),https://dl.acm.org/doi/abs/10.1145/3329784,54,,,,
35,"Zenati, M Romain, CS Foo, B Lecouat…",Adversarially learned anomaly detection,259,2018, ieeexplore.ieee.org, … conference on data …,https://ieeexplore.ieee.org/abstract/document/8594897/,52,,,,
395,"Saood, I Hatem",COVID-19 lung CT image segmentation using deep learning methods: U-Net versus SegNet,101,2021, bmcmedimaging.biomedcentral.com, BMC Medical Imaging,https://bmcmedimaging.biomedcentral.com/articles/10.1186/s12880-020-00529-5,50,,,,
970,"Elharrouss, N Almaadeed, S A",Image inpainting: A review,146,2020, Springer, Neural Processing …,https://link.springer.com/article/10.1007/s11063-019-10163-0,49,,,,
102,"He, AS Rakin, D Fan",Parametric noise injection: Trainable randomness to improve deep neural network robustness against adversarial attack,192,2019, openaccess.thecvf.com, … of the IEEE/CVF Conference on …,http://openaccess.thecvf.com/content_CVPR_2019/html/He_Parametric_Noise_Injection_Trainable_Randomness_to_Improve_Deep_Neural_Network_CVPR_2019_paper.html,48,,,,
907," Kundu, N Venkat, RV Babu",Universal source-free domain adaptation,132,2020, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_CVPR_2020/html/Kundu_Universal_Source-Free_Domain_Adaptation_CVPR_2020_paper.html,44,,,,
794,Foster,"Generative deep learning: teaching machines to paint, write, compose, and play",171,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=RKegDwAAQBAJ&oi=fnd&pg=PP1&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+(%27tabular+data%27+OR+%27table+data%27)&ots=bqK7-HPqy6&sig=yg_Gik2NyvPx8nv5tG76bXCq-08,43,,,,
695,"French, S Laine, T Aila, M Mackiewicz…","Semi-supervised semantic segmentation needs strong, varied perturbations",147,2019, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1906.01916,37,,,,
106,"Borisov, T Leemann, K Seßler, J Haug…",Deep neural networks and tabular data: A survey,74,2021, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2110.01889,37,,,,
24,"Engelmann, S Lessmann",Conditional Wasserstein GAN-based oversampling of tabular data for imbalanced learning,67,2021, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417421000233,34,,,,
688,"Booyse, DN Wilke, S Heyns","Deep digital twins for detection, diagnostics and prognostics",98,2020, Elsevier, Mechanical Systems and Signal …,https://www.sciencedirect.com/science/article/pii/S0888327019308337,33,,,,
903,"Ji, S Pan, X Li, E Cambria, G Long…",Suicidal ideation detection: A review of machine learning methods and applications,100,2020, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9199553/,33,,,,
200," Mudrakarta, A Taly, M Sundararajan…",Did the model understand the question?,166,2018, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1805.05492,33,,,,
12,"Mao, H Wang, BF Spencer Jr",Toward data anomaly detection for automated structural health monitoring: Exploiting generative adversarial nets and autoencoders,65,2021, journals.sagepub.com, Structural Health Monitoring,https://journals.sagepub.com/doi/abs/10.1177/1475921720924601,32,,,,
62," Mullick, S Datta, S Das",Generative adversarial minority oversampling,125,2019, openaccess.thecvf.com, Proceedings of the IEEE/CVF …,http://openaccess.thecvf.com/content_ICCV_2019/html/Mullick_Generative_Adversarial_Minority_Oversampling_ICCV_2019_paper.html,31,,,,
127,"Gao, H Xue, W Shao, S Zhao, KK Qin…",Generative adversarial networks for spatio-temporal data: A survey,31,2022, dl.acm.org, ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3474838,31,,,,
83,"Geiger, D Liu, S Alnegheimish…",TadGAN: Time series anomaly detection using generative adversarial networks,91,2020, ieeexplore.ieee.org, … Big Data (Big Data),https://ieeexplore.ieee.org/abstract/document/9378139/,30,,,,
921,"Zhang, V Sindagi, VM Patel",Joint transmission map estimation and dehazing using deep networks,116,2019, ieeexplore.ieee.org, IEEE Transactions on Circuits …,https://ieeexplore.ieee.org/abstract/document/8695091/,29,,,,
